kind,param,value,seed,success,state,steps,sim_time,path_length,collisions,first_detect_t,reach_t,homing_t,est_err_cm,known_frac,oracle_len,path_eff,victim_x,victim_y,wall_s
fallback_off,thermal_range_1x,3.0,1,0,searching,700,70.0,35.71703798734913,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4816311662757984,14.0,10.5,5.172270748000074
fallback_off,thermal_range_1x,3.0,2,0,failed,616,61.6,27.712048810966067,0,nan,nan,nan,nan,0.9966145833333333,17.702438661763956,0.620756652786953,14.0,10.5,3.965591409000126
fallback_off,thermal_range_1x,3.0,3,0,failed,456,45.6,19.4194251270552,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.8858366583569701,14.0,10.5,2.697379125999987
fallback_off,thermal_range_1x,3.0,4,0,searching,700,70.0,35.91334588469412,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.47899849590721233,14.0,10.5,5.441663519000031
fallback_off,thermal_range_1x,3.0,5,0,failed,621,62.1,28.53673899051076,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.6028172548897137,14.0,10.5,4.2112992739998845
fallback_off,thermal_range_1x,3.0,6,0,failed,656,65.60000000000001,29.910915031182718,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5751224475690588,14.0,10.5,4.278019173000075
fallback_off,thermal_range_1x,3.0,7,0,failed,421,42.1,18.76326897835018,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9168145850071663,14.0,10.5,2.652534394999975
fallback_off,thermal_range_1x,3.0,8,0,searching,700,70.0,34.24266983279708,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5023684994704396,14.0,10.5,5.086578854999971
fallback_off,thermal_range_1x,3.0,9,0,failed,662,66.2,27.61753391135896,0,nan,nan,nan,nan,0.9966145833333333,17.702438661763956,0.6228810550926371,14.0,10.5,3.9418666819999544
fallback_off,thermal_range_1x,3.0,10,0,failed,621,62.1,29.113942476335836,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5908659974768552,14.0,10.5,3.7514152419998936
